id,created_at,name,description,icon_url,tier,points,is_active,type,rule
c19ddcd2-7c8c-428f-8cce-e2199b26b853,2026-02-14 19:13:10.958842+00,Repeat Viewer,Rewatch the same movie 5 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Repeat%20Viewer.png,Gold,300,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":5,""source"":""watch_logs""}"
c1a2806c-2083-45eb-bc51-97f4373772a2,2026-02-14 19:13:10.958842+00,Director Specialist,Rate 10 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Specialist.png,Platinum,700,true,Director Loyalty,"{""type"":""director_count"",""threshold"":10,""source"":""ratings""}"
c684fba3-c0f4-43d7-8321-fb80a079a5d8,2026-02-14 19:13:10.958842+00,Screen Legend,Rate 1250 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Screen%20Legend.png,Emerald,1250,true,Movies Watched,"{""type"":""rating_count"",""threshold"":1250,""source"":""ratings""}"
c787f81e-8bb3-44c3-b3dd-7f5e0c6e34d7,2026-02-14 19:13:10.958842+00,Director Devotee,Rate 4 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Devotee.png,Bronze,100,true,Director Loyalty,"{""type"":""director_count"",""threshold"":4,""source"":""ratings""}"
c8ea4362-9aec-4a83-a87b-03777d098b46,2026-02-14 19:13:10.958842+00,Genre Connoisseur,Rate movies from 8 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Connoisseur.png,Gold,350,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":8,""source"":""ratings""}"
d09ca51b-1590-4640-8b22-9c473b1f3daa,2026-02-14 19:13:10.958842+00,Director Archivist,Rate 15 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Archivist.png,Emerald,1300,true,Director Loyalty,"{""type"":""director_count"",""threshold"":15,""source"":""ratings""}"
d4a9d197-757b-4561-8e59-f20661488d93,2026-02-14 19:13:10.958842+00,Cult Favorite,Rewatch the same movie 7 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Cult%20Favorite.png,Platinum,500,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":7,""source"":""watch_logs""}"
da7fa24c-6575-4a77-8458-5d2389c657ef,2026-02-14 19:13:10.958842+00,Double Feature,Rate 2 movies in a single day.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Double%20Feature.png,Bronze,75,true,Streaks,"{""type"":""daily_count"",""threshold"":2,""source"":""watch_logs""}"
e082d1b5-d70d-4ab9-9c10-0118f985b3d3,2026-02-14 19:13:10.958842+00,Legendary Obsession,Rewatch the same movie 15 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Legendary%20Obsession.png,Emerald,1100,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":15,""source"":""watch_logs""}"
e934b73e-bebd-4f3f-a3ff-9cfc75d900cd,2026-02-14 19:13:10.958842+00,Decade Specialist,Rate movies from 9 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Decade%20Specialist.png,Platinum,700,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":9,""source"":""ratings""}"
f12eb83b-51ce-44f1-a2b3-46d0488bf36e,2026-02-14 19:13:10.958842+00,Master of Cinema,Rate 1500 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Master%20of%20Cinema.png,Ruby,1500,true,Movies Watched,"{""type"":""rating_count"",""threshold"":1500,""source"":""ratings""}"
f2dd9d3a-8058-4554-9853-968b5b96aa67,2026-02-14 19:13:10.958842+00,Dedicated Critic,Rate 250 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Dedicated%20Critic.png,Gold,250,true,Movies Watched,"{""type"":""rating_count"",""threshold"":250,""source"":""ratings""}"
f58a3668-9787-409c-978f-748e28fe823c,2026-02-14 19:13:10.958842+00,Director Disciple,Rate 8 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Disciple.png,Gold,450,true,Director Loyalty,"{""type"":""director_count"",""threshold"":8,""source"":""ratings""}"
f83c2fd5-30cf-45c2-a4b9-a4379c2ca282,2026-02-14 19:13:10.958842+00,Genre Specialist,Rate movies from 10 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Specialist.png,Platinum,600,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":10,""source"":""ratings""}"
fc3b0a98-1a06-429e-b654-65c47a12ec52,2026-02-14 19:13:10.958842+00,Cinema Archivist,Rate 750 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Cinema%20Archivist.png,Platinum,750,true,Movies Watched,"{""type"":""rating_count"",""threshold"":750,""source"":""ratings""}"
